date,dataset,id,mass,resp
2014/07/17,MD2014,8,223.3,1.129241968
2014/07/17,MD2014,10,95.4,1.386044539
2014/07/18,MD2014,12,132.4,1.567033879
2014/07/18,MD2014,7,109.9,0.9208997857
2014/07/20,MD2014,17,262.9,0.7240356531
2014/07/20,MD2014,9,157.8,1.421966997
2014/07/21,MD2014,16,21.5,2.741535329
2014/07/21,MD2014,13,31.3,2.380890735
2014/07/22,MD2014,3,152.6,1.833900451
2014/07/22,MD2014,18,116.4,1.113213175
2014/07/23,MD2014,14,20.1,3.123809
2014/07/23,MD2014,11,263.8,1.671402
2014/07/24,MD2014,1,137.9,1.250832
2015/07/17,MD2015,Larry,54,2.555
2015/07/17,MD2015,Robin,137,1.352
2015/07/18,MD2015,Juan,218,2.434
2015/07/18,MD2015,Pedro,11,1.568
2015/07/19,MD2015,Franklin,190,1.378
2015/07/19,MD2015,Oliver,74,4.433
2015/07/19,MD2015,Perris,107,2.219
2015/08/03,MD2015,"Babe Ruth",259,0.7157
2015/07/20,MD2015,Beppe,22,15.59
2015/07/20,MD2015,Buster,52,6.236
2015/07/29,MD2015,Gilbert,62,2.455
2015/07/21,MD2015,Kurtis,148,3.152
2015/07/21,MD2015,Leo,114,5.069
7/31/215,MD2015,Chuck,400,1.37
2015/07/23,MD2015,Hans,171,2.601
2015/07/23,MD2015,Mike,171,2.237
2015/07/27,MD2015,Champ,165,2.083
2015/07/27,MD2015,Christopher,160,2.052
2015/07/29,MD2015,Moose,130,1.543
2015/07/27,MD2015,Sparky,202,3.36
2015/07/07,Chris2015,T-1,172,2.08
2015/07/07,Chris2015,T-2,61,4.27
2015/07/07,Chris2015,T-3,237,2
2015/07/07,Chris2015,T-4,160,2.375
2015/07/07,Chris2015,T-5,249,2.34
2015/07/07,Chris2015,T-6,296,2.35
2015/07/07,Chris2015,T-7,183,3.21
2015/07/07,Chris2015,T-8,220,2.59
2015/07/07,Chris2015,T-10,313,2.615
2015/07/07,Chris2015,C-1,160,2.325
2015/07/07,Chris2015,C-2,359,1.21
2015/07/07,Chris2015,C-3,272,1.905
2015/07/07,Chris2015,C-4,101,4.395
2015/07/07,Chris2015,C-5,295,1.3
2015/07/07,Chris2015,C-6,265,2.03
2015/07/07,Chris2015,C-7,53,4.86
2015/07/07,Chris2015,C-8,69,4.665
2015/07/07,Chris2015,C2-1,174,1.745
2015/07/07,Chris2015,C2-2,52,9.095
2015/07/07,Chris2015,C2-3,56,4.59
2015/07/07,Chris2015,C2-4,57.5,5.945
2015/07/07,Chris2015,C2-5,306,1.05
2015/07/07,Chris2015,C2-6,191,1.87
2015/07/07,Chris2015,C2-7,309,2.185
2015/07/07,Chris2015,C2-9,216,2
2015/07/07,Chris2015,C2-10,132,1.955
2015/07/07,Chris2015,C2-11,203.5,1.885
2015/07/07,Chris2015,C3-1,227,1.865
2015/07/07,Chris2015,C3-2,46,5.455
2015/07/07,Chris2015,C3-3,237,1.64
2015/07/07,Chris2015,C3-4,40,6.93
2015/07/07,Chris2015,C3-5,54,1.99
2015/07/07,Chris2015,C3-6,310,1.15
2015/07/07,Chris2015,C3-7,87.5,2
2015/07/07,Chris2015,C3-8,270,1.865
2015/07/07,Chris2015,C3-10,280,2.48
2015/07/07,Chris2015,C4-1,164,1.74
2015/07/07,Chris2015,C4-2,117,2.2
2017/08/14,MD2017,BR2,116,1.550258
2017/08/14,MD2017,BR3,218,2.032148
2017/08/14,MD2017,BR1,260,1.458644
2017/08/15,MD2017,BR4,150,0.4133816
2017/08/15,MD2017,BR5,333,0.8038492
2007/08/02,TH2007,1,103.18,2.5794110645182
2007/08/02,TH2007,2,96,2.64616849458992
2007/08/02,TH2007,3,142,2.05746423817806
2007/08/02,TH2007,4,107,3.07054634270943
2007/08/02,TH2007,5,105,3.67796339028952
2007/08/02,TH2007,7,169,2.76690648498089
2007/08/02,TH2007,9,233,2.55342841573486
2007/08/02,TH2007,10,353,1.78582402311945
2007/08/02,TH2007,11,152.54,2.49037102171348
2007/08/02,TH2007,15,215,2.30410700001102
2007/08/02,TH2007,16,158,3.17603271547192
2007/08/02,TH2007,17,160,1.77161294501134
2007/08/02,TH2007,18,41,6.51556537808281
2007/08/02,TH2007,19,235,2.46582003095005
2007/08/02,TH2007,20,252,1.91347055302436
2007/08/02,TH2007,21,224,2.14689590008279
2007/08/02,TH2007,22,273,2.41309527317365
2007/08/02,TH2007,23,233,1.93327310409869
2007/08/02,TH2007,24,54,3.90417317773461
2007/08/02,TH2007,25,143,3.02010725866842
2007/08/02,TH2007,99,235,1.17395994513215
