octo,metab_file,temp_file,time_off,light_off
1,Octo_01r_08-18-2020.txt,Octo_01r_08-18-2020_temp.txt,-5,0.97
2,Octo_02r_08-18-2020.txt,Octo_02r_08-18-2020_temp.txt,-4,0.97
3,Octo_04r_08-18-2020.txt,Octo_04r_08-18-2020_temp.txt,-5,0.97
4,Octo05_08-14-2020.txt,Octo05_08-14-2020_temp.txt,-5,0.97
5,Octo06_08-14-2020.txt,Octo06_08-14-2020_temp.txt,-6,0.98
6,Octo07_08-14-2020.txt,Octo07_08-14-2020_temp.txt,-5,0.97
7,Octo_09r_08-19-2020.txt,Octo_09r_08-19-2020_temp.txt,-2,0.98
8,Octo_10r_08-19-2020.txt,Octo_10r_08-19-2020_temp.txt,-4,0.98
9,Octo11_08-16-2020.txt,Octo11_08-16-2020_temp.txt,-4,0.97
10,Octo_13r_08-19-2020.txt,Octo_13r_08-19-2020_temp.txt,-4,0.98
11,Octo_14r_08-19-2020.txt,Octo_14r_08-19-2020_temp.txt,-4,0.98
12,Octo15_08-17-2020.txt,Octo15_08-17-2020_temp.txt,-6,0.96
13,Octo16_08-17-2020.txt,Octo16_08-17-2020_temp.txt,-4,0.97
14,Octo23_08-18-2020.txt,Octo23_08-18-2020_temp.txt,-3,0.99
15,Octo24_08-18-2020.txt,Octo24_08-18-2020_temp.txt,-4,0.98
16,Octo25_08-18-2020.txt,Octo25_08-18-2020_temp.txt,-6,0.97
17,Octo26_08-18-2020.txt,Octo26_08-18-2020_temp.txt,-4,0.97
